"course_code","title","description","skills"
"CSC 309","Computer Programming","Procedural programming for scientific applications. Good programming practices and basic numerical and nonnumerical algorithms for scientists and engineers.","[(Python, 19), (Procedural Programming, 16), (Numerical Methods, 15), (Scientific Computing, 14), (Algorithm Design, 13), (Control Flow, 12), (Debugging, 11), (Mathematical Computing, 10), (Good Programming Practices, 10), (Error Handling, 9), (Technical Documentation, 8), (Data Visualization, 7), (Floating-Point Arithmetic, 7)]"
"CSC 310","Computer Programming Lab","Laboratory companion to CSC 309 (Computer Programming). Hands-on exercises in Python programming covering procedural design, functions, loops, debugging, file I/O, and use of scientific libraries such as NumPy and Matplotlib. Introduces basic software development tools including virtual environments, version control with Git, and code-style conventions. Activity course; CR/NC grading only.","[(Python, 18), (IDE and Tooling, 14), (Debugging, 13), (Virtual Environments, 12), (Version Control, 12), (Unit Testing, 11), (Scientific Python Stack, 11), (Code Style, 10), (Shell Scripting Basics, 9), (Problem Solving, 9), (Lab Documentation, 8), (Package Management, 7)]"
"CSC 311","Data Structures for Data Science Application Development","Focuses on learning about and utilizing data structures and algorithms effectively for developing data science applications. Utilizes Python and Jupyter Notebook. [Formerly CSC 219]","[(Python, 19), (Data Structures, 17), (Pandas and NumPy, 16), (Jupyter Notebooks, 14), (Algorithm Analysis, 13), (Data Wrangling and Cleaning, 13), (Sorting and Searching, 12), (Hash Maps, 11), (Exploratory Data Analysis, 11), (Data Pipeline Design, 10), (Statistical Data Structures, 9), (Recursion, 8), (Visualization, 8), (Version Control, 7), (Technical Communication, 6)]"
"CSC 317","Introduction to Web Software Development","Introduction to topics in UNIX and creating web pages including reading and processing user input submitted through web pages, client side and server side programming, connecting a web page to a database, and building an e-commerce site or Internet Application. Syllabus terms: Fall 2024.","[(JavaScript, 19), (HTML5 and CSS3, 17), (Node.js, 16), (Express.js, 15), (SQL and MySQL, 14), (UNIX/Linux, 13), (Client-Server Architecture, 13), (RESTful APIs, 12), (Form Validation and Sanitization, 11), (Session Management and Cookies, 10), (Git/GitHub, 10), (Responsive Web Design, 9), (Web Security, 9), (Database Connectivity, 8), (E-Commerce Application Development, 7), (Deployment Basics, 7)]"
"CSC 340","Programming Methodology","Advanced data structures and algorithms for manipulation in C++ with an emphasis on design and implementation, practical applications, and algorithms for sorting, searching, and graphs. Syllabus terms: Fall 2024, Spring 2025.","[(C++, 20), (Object-Oriented Programming, 18), (Advanced Data Structures, 16), (STL, 15), (Templates and Generics, 14), (Algorithm Design, 14), (Complexity Analysis, 13), (Memory Management, 13), (Graph Algorithms, 11), (Unit Testing, 10), (Design Patterns, 9), (Debugging and Profiling, 9), (Problem Solving, 8), (Code Review, 7), (Version Control, 7), (Software Design Principles, 6)]"
"CSC 408","Machine Learning and Data Science for Personalized Medicine","Exploration of the concepts and tools needed to analyze, interpret, and reason from genomic datasets to help medical professionals better treat their patients. Diseases often affect patients differently depending on their genetic background. To make personalized medicine a reality, it is necessary to leverage the data from genomic datasets. Genomic data science applies machine learning and data science to the genome to better diagnose and treat patients. [Formerly CSC 508]","[(Python, 17), (Machine Learning, 18), (Genomic Data Analysis, 17), (Bioinformatics Concepts, 15), (Data Preprocessing, 15), (Classification, 14), (Statistical Analysis, 13), (Pandas and NumPy, 12), (Data Visualization, 11), (Healthcare Domain Knowledge, 11), (Model Evaluation, 10), (Research Literature Review, 9), (Scientific Writing, 9), (Dimensionality Reduction, 8), (Bioinformatics Databases, 7), (Jupyter Notebooks, 7)]"
"CSC 411","Intermediate Machine Learning for Interdisciplinary Data Scientists","Intermediate machine learning concepts and tools. Focus on application development, linear model, deep neural network and transfer learning using Python, Tensorflow, and Keras. [Formerly CSC 308]","[(Python, 18), (TensorFlow and Keras, 18), (Deep Neural Networks, 17), (Transfer Learning, 16), (Linear Models, 14), (Data Preprocessing, 13), (Model Training and Evaluation, 13), (Hyperparameter Tuning, 12), (Cross-Validation, 11), (Scikit-learn, 11), (Pandas and NumPy, 10), (Image and Text Classification, 10), (Data Visualization, 9), (Jupyter Notebooks and Colab, 8), (Applied ML Workflows, 8), (Domain Adaptation, 7)]"
"CSC 412","Advanced Software Lab","Hands-on exercises in advanced programming, software development tools, and web technologies. Students are encouraged to bring their laptops. Activity. May be repeated for a total of 2 units. (Plus-minus letter grade only)","[(Advanced Python, 16), (REST API Development, 14), (Web Technologies, 13), (Git/GitHub Advanced Usage, 13), (Docker Containerization, 13), (CI/CD Basics, 12), (Database Integration, 12), (Cloud Platform Basics, 11), (Debugging and Profiling, 10), (Code Review, 10), (Testing, 10), (Technical Documentation, 9), (Software Development Tools, 8), (JavaScript/Node.js Basics, 7)]"
"CSC 413","Software Development","Modern software applications. Object-oriented techniques: encapsulation, inheritance, and polymorphism as a mechanism for data design and problem solution. Software design, debugging, testing, and UI design. Software maintenance. Software development tools. Extra fee required. (Plus-minus letter grade only) Syllabus terms: Fall 2024, Spring 2024.","[(Java, 18), (OO Design, 18), (Design Patterns, 17), (Software Testing, 16), (Debugging, 14), (UI Design and JavaFX/Swing, 13), (Refactoring, 12), (Build Tools, 11), (Git/GitHub Collaboration, 11), (Agile Development, 10), (Code Review, 10), (Software Documentation, 9), (SOLID Principles, 9), (UML Diagrams, 8), (Continuous Integration Basics, 7), (Technical Presentations, 6)]"
"CSC 415","Operating System Principles","Operating system concepts: concurrent processes, basic synchronization techniques, deadlock, memory management, file systems, security, networks, and distributed processing. Extra fee required.","[(C Programming, 19), (Process Management and Scheduling, 18), (Threads and Concurrency, 17), (Synchronization, 16), (Deadlock Detection and Prevention, 14), (Virtual Memory, 14), (File Systems, 13), (System Calls, 12), (IPC Mechanisms, 12), (Linux/Unix Command Line, 11), (Network Basics and Sockets, 9), (Security, 9), (Debugging, 8), (Distributed Processing Concepts, 7), (Kernel Architecture Overview, 7), (Virtualization Concepts, 6)]"
"CSC 509","Data Science and Machine Learning for Medical Image Analysis","Exploration of the application of state-of-the-art deep learning models to medical image analysis: the task of identifying objects such as tissue, bone within an image. Discussion of topics central to deep learning-based image analysis, and practical application of these concepts in three hands-on case studies.","[(Python, 17), (PyTorch, 19), (Medical Image Analysis, 19), (Computer Vision Deep Learning, 17), (CNN Architectures, 16), (Transfer Learning, 15), (Image Segmentation, 14), (DICOM and 3D Imaging, 13), (Object Detection, 12), (Healthcare AI Ethics, 11), (Model Evaluation, 10), (Research Literature Review, 10), (Scientific Writing, 9), (Medical Data Augmentation, 9), (GPU Computing, 8), (Experimental Design, 7)]"
"CSC 510","Analysis of Algorithms I","Notions of main algorithm design methods. Measures of algorithm complexity in space and time. Algorithms of classic problems including sorting and scheduling and complexity analysis of such algorithms. (Plus/minus ABC/NC, CR/NC allowed) Syllabus terms: Spring 2025.","[(Algorithm Design, 20), (Complexity Analysis, 19), (Dynamic Programming, 18), (Graph Algorithms, 16), (Sorting Algorithms and Lower Bounds, 14), (Recurrence Relations, 13), (Proof of Correctness, 13), (NP-Completeness Basics, 11), (Network Flow, 10), (Backtracking and Branch-and-Bound, 10), (Competitive Programming, 9), (Research Paper Reading, 8), (Mathematical Reasoning, 8), (CPU Scheduling, 7), (Space Complexity Optimization, 7)]"
"CSC 511","Protein Modeling with Deep Learning","Introduction to the use of machine learning (ML), deeplearning (DL), data science, and bioinformatics in protein biology. Explore real-world problems in in-silico protein engineering through hands-on projects and coding assignments. Apply ML/DL techniques to create models of various protein properties, and use these models to engineer and predict the properties of a novel protein. (Plus-minus letter grade only)","[(Python, 17), (PyTorch or TensorFlow, 17), (Sequence Modeling, 18), (Protein Modeling, 18), (Bioinformatics, 15), (Transfer Learning for Biology, 14), (Protein Engineering, 13), (Protein Property Prediction, 12), (Sequence Alignment, 11), (Structural Biology, 11), (Scientific Computing, 10), (Research Literature Review, 10), (Scientific Writing, 9), (Biological Data Processing, 9), (Jupyter Notebooks and Colab, 8), (Experimental Design, 7)]"
"CSC 520","Theory of Computing","Examination of automata, formal languages, and the notion of computability. Discussion of sequential machines as language acceptors and context-free and context-sensitive grammars. Exploration of recursive functions, universal Turing machines, and unsolvable problems.","[(Automata Theory, 19), (Formal Language Theory, 18), (Finite State Machines, 16), (Pushdown Automata and CFG Parsing, 15), (Turing Machines and Computability, 17), (Decidability Theory, 14), (Complexity Theory, 14), (Pumping Lemma, 12), (Grammar and Parsing, 11), (Lambda Calculus Basics, 9), (Reduction Proofs, 10), (Formal Proof Writing, 10), (Undecidability Theory, 8), (Compiler Applications, 8), (Literature Review, 7)]"
"CSC 600","Programming Paradigms and Languages","Concepts for high-level programming languages. Procedural, logic, functional, and object-oriented programming paradigms. Comparative study of several languages and an introduction to grammars and parsing techniques. Extra fee required. Syllabus terms: Spring 2025.","[(Programming Language Theory, 19), (Functional Programming, 17), (Logic Programming, 15), (Object-Oriented Programming, 14), (Type Systems and Type Inference, 14), (Language Grammars, 13), (Lexing and Parsing, 13), (Higher-Order Functions and Closures, 12), (Evaluation Strategies, 11), (Lambda Calculus, 11), (Concurrency Models, 10), (Memory Ownership Models, 10), (Language Design, 9), (Interpreter Design, 9), (Metaprogramming and Macros, 7), (DSL Design, 7)]"
"CSC 601","Data Science and Machine Learning for Biotechnology Seminar Series","Featuring scientists in related areas from Genentech or other biotechnology industry or academia, explore a broad view of the topics on Drug design, modeling to predict drug performance, or new drug approval processes. (CR/NC grading only)","[(Drug Discovery, 15), (Drug Discovery ML, 14), (Research Analysis, 14), (Biotechnology Domain, 13), (Life Sciences Data Science, 12), (Python for Bioinformatics, 11), (Seminar Participation, 10), (Academic Networking, 10), (Scientific Communication, 9), (Literature Review, 9), (Data Analysis and Interpretation, 8), (Professional Development, 7)]"
"CSC 602","Interview Preparation for Data Science and Machine Learning for Biotechnology Opportunities","Preparation for interviews for data science-related internships and full-time positions in industry. Emphasis on oral and written communication common in coding interviews for problem-solving. Development of interview skills such as how to communicate about technical aspects, describe a problem, and articulate issues. Practice of key problem-solving strategies specific to technical/coding interviews in Biotechnology. (CR/NC grading only)","[(Technical Interviewing, 19), (DS&A for Interviews, 18), (Python for Coding Interviews, 16), (SQL for Data Science Interviews, 14), (System Design Communication, 14), (Behavioral Interviewing, 13), (Whiteboard Coding, 12), (ML Interview Prep, 12), (Resume and LinkedIn Optimization, 11), (Portfolio Development, 10), (Professional Networking, 10), (Communication of Technical Concepts, 9), (Mock Interview Practice, 9), (Domain Knowledge in Biotechnology, 8), (Probability and Statistics, 7)]"
"CSC 603","Generative AI: Fundamentals and Applications","Introduction to Generative AI, covering its fundamental concepts, models, and real-world applications. Explore key techniques for generating text, images, and multimodal content using state-of-the-art models such as transformers, GANs, and diffusion models. Focus on both theory and hands-on practice, including prompt engineering, API usage, and AI-powered application development. Gain experience building AI-driven applications such as chatbots, media generation tools, and productivity applications.","[(Generative AI, 20), (Large Language Models, 19), (Transformer Architecture, 17), (Prompt Engineering, 16), (Generative Adversarial Networks, 13), (Diffusion Models, 14), (LLM Fine-Tuning, 13), (Retrieval-Augmented Generation, 14), (LLM API Integration, 13), (Multimodal AI, 12), (Chatbot Development, 11), (AI Application Development, 11), (AI Ethics and Responsible AI, 10), (Model Evaluation and Benchmarking, 9), (Vector Databases, 9), (LangChain, 8), (AI Deployment, 8)]"
"CSC 615","Embedded Linux Systems and Physical Computing","Exploration of embedded Linux programming in C, threads and synchronization, resource limits, working with sensors and motors, programming various communication protocols, and building a physical computing device. Extra fee required. (Plus-minus letter grade only)","[(C Programming, 20), (Embedded Linux, 18), (POSIX Threads, 17), (Embedded Protocols, 16), (GPIO Programming, 15), (Motor and Actuator Control, 13), (Real-Time Systems Design, 12), (Embedded Memory, 12), (Embedded Hardware, 11), (Embedded Debugging, 11), (HW-SW Co-design, 10), (Shell Scripting, 9), (Cross-Compilation, 9), (Linux Device Drivers, 8), (Physical Computing, 7), (Technical Documentation, 7)]"
"CSC 620","Natural Language Technologies","Introduction to the fundamental concepts and techniques of Natural Language Processing (NLP). In-depth understanding of the computational properties of natural language and the commonly used algorithms for processing language data. Illustration of the pervasiveness of natural language technologies through real-world applications. Practical experience in NLP through hands-on exercises. Extra fee required. (Plus-minus letter grade only) Syllabus terms: Spring 2025.","[(Python, 17), (Natural Language Processing, 20), (NLTK and spaCy, 14), (HuggingFace Transformers, 17), (Text Preprocessing, 15), (Word Embeddings, 14), (Pre-trained Language Models, 16), (Text Classification, 14), (NER, 12), (POS Tagging and Syntactic Parsing, 11), (Language Modeling, 11), (Machine Translation, 9), (Information Extraction, 9), (Corpus Linguistics, 8), (Model Evaluation, 8), (Research Paper Reading, 7)]"
"CSC 621","Biomedical Imaging and Analysis","Introduction to medical and biological imaging, imaging physics, 3D image formats, and visualization. Basic digital image processing and analysis, filtering, registration, segmentation, quantification, and performance evaluation. (Plus-minus letter grade only) Syllabus terms: Fall 2023.","[(Medical Image Processing, 19), (Image Filtering and Enhancement, 16), (Image Segmentation, 16), (Image Registration, 15), (3D Medical Imaging, 14), (Medical Imaging Libraries, 13), (Medical Imaging ML, 13), (Imaging Physics, 12), (Model Evaluation, 11), (Image Feature Extraction, 10), (Scientific Writing, 10), (Medical Imaging Statistics, 9), (Medical Imaging DL, 9), (Data Annotation Tools, 7), (Ethics and HIPAA in Medical AI, 7)]"
"CSC 630","Computer Graphics Systems Design","Graphics system design and GPU pipeline architecture and Generative AI on graphics. Overview of device-independent graphic systems such as OpenGL, 2- & 3-dimensional viewing pipelines, hidden line and surface removal algorithms, raster graphics techniques, and color space models. Topics on generative AI for graphics such as StyleGAN are covered. Course fee required. (Plus-minus letter grade only)","[(OpenGL, 20), (GLSL Shader Programming, 17), (GPU Programming, 17), (3D Transformations, 15), (Hidden Surface Removal, 13), (Ray Tracing and Rasterization, 13), (Lighting Models, 13), (Color Space Models, 11), (Generative Graphics AI, 12), (C++ for Graphics, 11), (Linear Algebra for Graphics, 11), (WebGL Basics, 9), (Computer Vision Basics, 8), (Real-Time Rendering Optimization, 8), (2D and 3D Scene Management, 7), (Technical Documentation, 6)]"
"CSC 631","Multiplayer Game Development","Computer graphics and network characteristics of multiplayer games. Design and development of a game as a team project. Syllabus terms: Spring 2023.","[(Unity, 19), (Multiplayer Architecture, 17), (Game Networking, 16), (Game Physics, 15), (Network Lag Compensation, 14), (Computer Graphics, 13), (3D Modeling Integration, 12), (Agile Development, 12), (Game Design Documentation, 11), (Version Control, 11), (Network Synchronization, 10), (Game Testing and QA, 10), (Audio Integration, 8), (Unity Netcode / Photon Networking, 8), (Performance Optimization, 7), (Technical Presentation and Demo, 6)]"
"CSC 641","Computer Performance Evaluation","Computer performance analysis problems related to system design, selection, and tuning. Modeling using stochastic and operational queuing models. Workload characterization, design, and performance measurement methods. Design of simulation models for computer systems. Extra fee required. (Plus-minus letter grade only)","[(Queueing Theory, 19), (Stochastic Modeling, 17), (Discrete-Event Simulation, 16), (Benchmarking, 15), (Workload Profiling, 14), (Capacity Planning, 13), (Performance Measurement, 13), (Statistical Analysis, 12), (Response Surface Modeling, 11), (Python and R for Analysis, 11), (Operational Analysis, 10), (System Profiling Tools, 10), (Performance Tuning, 9), (Cloud Performance, 8), (Technical Report Writing, 8), (Experimental Design, 7)]"
"CSC 642","Human-Computer Interaction","The design, implementation, and evaluation of human-computer interfaces. Topics include interface devices, interface metaphors, interaction styles, user-centered design, testing, and quality assessment. Extra fee required. Syllabus terms: Spring 2025.","[(User Research, 18), (User-Centered Design (UCD) Process, 18), (Prototyping, 17), (Usability Testing, 16), (Accessibility Design, 14), (Heuristic Evaluation, 13), (Personas and User Stories, 13), (Information Architecture, 12), (Interaction Design, 11), (Survey Design, 11), (Quantitative UX, 10), (Figma / Sketch, 10), (Design Thinking, 9), (UX Writing, 8), (UX Biometrics, 7), (UI Design, 7)]"
"CSC 645","Computer Networks","Computer network design, evaluation, and testing. Computer network standards and implementation. Hardware and software design and compatibility issues. Extra fee required. Syllabus terms: Fall 2023.","[(TCP/IP Protocol Stack, 19), (Network Protocols, 17), (Socket Programming, 16), (OSI Model, 14), (Routing Algorithms, 14), (Subnetting and CIDR, 13), (Network Design and Evaluation, 13), (LAN/WAN Design, 12), (Network Security Basics, 12), (Packet Analysis, 11), (Network Troubleshooting, 11), (UDP vs TCP Trade-offs, 10), (Network Standards, 9), (NAT and IPv6, 9), (Congestion Control, 8), (Python Networking, 8)]"
"CSC 647","Introduction to Quantum Computing and Quantum Information Science","Introduction to quantum computing and quantum information science. Comparison of classical and quantum computing architectures and organization. Quantum algorithm design and implementation on circuit-based and annealing quantum platforms. Program execution and performance analysis on quantum platform simulators and actual quantum hardware, subject to availability. Survey of research topics in quantum computing ranging from algorithms (e.g., Grover's Search) and their application to problems in quantum cryptography, quantum machine learning, and hybrid classical/quantum algorithms. Syllabus terms: Spring 2024.","[(Quantum Mechanics, 18), (Quantum Circuits, 18), (Qiskit, 17), (Quantum Algorithms, 17), (Quantum Information Theory, 14), (Quantum Cryptography, 13), (Quantum Machine Learning, 12), (D-Wave Annealing and Optimization, 11), (Hybrid Quantum Computing, 11), (Quantum Hardware, 10), (Quantum Error Correction Basics, 10), (Quantum Linear Algebra, 9), (Quantum Computing Research, 9), (Python for Quantum Computing, 8), (Scientific Writing and Presentation, 7)]"
"CSC 648","Software Engineering","Practical methods and tools for SW engineering including organizational teamwork. Syllabus terms: Fall 2023.","[(Agile Development, 19), (Software Requirements Engineering, 17), (UML Diagrams, 15), (System Architecture, 14), (CI/CD Pipelines, 13), (Unit and Integration Testing, 13), (Code Review and Pair Programming, 12), (Project Management, 12), (Git/GitHub Workflows, 11), (REST API Development, 10), (Docker and Containerization, 10), (Usability and UI Design Principles, 9), (Open Source SW Management, 9), (User-Centered Design, 8), (Technical Documentation and SRS, 8), (GenAI Tools in SE, 7), (Global Software Engineering, 6)]"
"CSC 651","System Administration","User administration. Operating system installation, tuning, and control. Network administration. Security management. Performance tuning and management. Extra fee required. (ABC/NC grading only)","[(Linux System Administration, 20), (User and Group Management, 16), (OS Tuning, 15), (Network Administration, 14), (Firewall Management, 14), (Security Hardening, 13), (System Monitoring, 12), (Shell Scripting, 12), (Backup and Recovery, 11), (Virtualization, 11), (Log Analysis, 10), (Service Management, 10), (Package Management, 9), (SSH and Remote Administration, 9), (Incident Response Basics, 8), (Cloud Infrastructure Basics, 7)]"
"CSC 652","Introduction to Security and Data Privacy","Introduction to fundamental concepts in cybersecurity, cryptography, and data privacy. Practice different privacy mechanisms in databases and present applications to a wide range of data analysis tasks. Extra fee required.","[(Cryptography, 19), (Differential Privacy, 18), (Cybersecurity Fundamentals, 16), (Secure Protocols, 14), (Database Privacy, 14), (Access Control, 13), (Authentication and Authorization, 12), (Data Anonymization, 12), (Privacy-Preserving Analytics, 11), (GDPR / CCPA / HIPAA Compliance, 10), (Threat Modeling, 10), (Security Auditing, 9), (Penetration Testing, 8), (Python for Security Tools, 8), (Security Research, 7)]"
"CSC 653","Network Security","Introduction to the fundamental concepts of computer network security as well as standard security mechanisms and protocols.","[(Network Security Protocols, 19), (PKI, 17), (Authentication Protocols, 16), (Firewalls, IDS and IPS Design, 15), (VPN Technologies, 14), (Network Forensics, 13), (DoS/DDoS Defense, 12), (Wireless Security, 12), (Zero Trust Architecture, 11), (Penetration Testing, 10), (Risk Assessment and Threat Modeling, 10), (Cryptography Fundamentals, 9), (OWASP Top 10 Web Security, 9), (Security Compliance, 8), (Incident Response Basics, 7), (Security Scripting, 7)]"
"CSC 656","Computer Organization","Instruction set design. Pipelined datapath and control. Cache and memory system design. Input and output subsystems. Parallel processing. Software and hardware interactions. Extra fee required. Syllabus terms: Spring 2025.","[(Computer Architecture, 20), (ISA Design, 18), (CPU Pipelining, 17), (Cache Design, 16), (Memory Hierarchy and Virtual Memory, 15), (Branch Prediction, 13), (Superscalar Architecture, 13), (I/O Subsystems and Interrupts, 12), (Parallel Processing, 12), (MIPS/RISC-V Assembly, 11), (HW-SW Co-design, 10), (Performance Metrics, 10), (VHDL or Verilog Simulation, 9), (Memory Bandwidth Optimization, 8), (Research Paper Reading, 7), (Technical Report Writing, 7)]"
"CSC 657","Bioinformatics Computing","A broad range of topics in computational biology as practiced in the life science industry and leading research organizations. Provides computational background required to participate in R&D. Extra fee required.","[(Bioinformatics Algorithms, 19), (Python and R for Bioinformatics, 17), (Genomics, 16), (Sequence Alignment, 15), (ML for Biology, 14), (Biological Databases, 13), (Protein Modeling, 12), (Gene Expression Analysis, 12), (Phylogenetic Analysis, 11), (Statistical Genomics, 10), (Drug Discovery, 10), (Research Literature Review, 9), (Scientific Writing, 9), (Bioinformatics Pipelines, 8), (Reproducible Research, 7)]"
"CSC 659","AI Explainability and Ethics","Overview of AI and GenAI technologies, their usage (including prompt engineering), and methods for their accuracy evaluations and optimization. Analysis of AI/GenAI limitations like hallucinations, bias, and errors. Overview of AI/GenAI explainability. Definitions, best practices and tools for auditing AI/GenAI for ethics and trustworthiness. Implementation of full AI pipeline and trustworthiness audit of selected AI application. (Plus-minus letter grade RP only) Syllabus terms: Spring 2025.","[(Explainable AI, 19), (AI Ethics, 18), (Prompt Engineering, 17), (LLM Evaluation, 16), (Bias Mitigation, 15), (Hallucination Mitigation, 14), (AI Model Auditing, 13), (Retrieval-Augmented Generation, 12), (Fairness Metrics, 12), (AI Regulation, 11), (Responsible AI, 11), (Python and ML Pipeline Development, 10), (LLM Fine-Tuning, 9), (Technical Report Writing, 9), (AI Risk Assessment, 8), (Human-AI Interaction, 7), (AI Data Privacy, 7)]"
